sno,class,method,action,time
"1265","ActionOne","getBooks","Start","00:43:39.518126"
"1266","ActionOne","getBooks","Completed","00:43:40.671989700"
"1267","ActionOne","getEvents","Start","00:43:40.686371400"
"1268","ActionOne","getEvents","Completed","00:43:41.835348400"
"1269","ActionOne","getExams","Start","00:43:41.839458"
"1270","ActionOne","getExams","Completed","00:43:42.860332600"
"1271","ActionOne","getManagement","Start","00:43:42.869750900"
"1272","ActionOne","getManagement","Completed","00:43:43.870005100"
"1273","ActionOne","getParents","Start","00:43:43.885004500"
"1274","ActionOne","getParents","Completed","00:43:45.092678300"
"1275","ActionOne","getSports","Start","00:43:45.101645400"
"1276","ActionOne","getSports","Completed","00:43:46.726341300"
"1277","ActionOne","getStudents","Start","00:43:46.730341"
"1278","ActionOne","getStudents","Completed","00:43:48.454693"
"1279","ActionOne","getTeacher","Start","00:43:48.462625500"
"1280","ActionOne","getTeacher","Completed","00:43:49.752912"
"1281","ActionOne","getBooks","Start","00:43:49.768025400"
"1282","ActionOne","getBooks","Completed","00:43:51.049399500"
"1283","ActionOne","getEvents","Start","00:43:51.057265300"
"1284","ActionOne","getEvents","Completed","00:43:52.517704500"
"1285","ActionOne","getExams","Start","00:43:52.526733100"
"1286","ActionOne","getExams","Completed","00:43:54.126896700"
"1287","ActionOne","getManagement","Start","00:43:54.139786"
"1288","ActionOne","getManagement","Completed","00:43:55.520241800"
"1289","ActionOne","getParents","Start","00:43:55.521689100"
"1290","ActionOne","getParents","Completed","00:43:57.278903"
"1291","ActionOne","getSports","Start","00:43:57.289203900"
"1292","ActionOne","getSports","Completed","00:43:58.797537800"
"1293","ActionOne","getStudents","Start","00:43:58.809096100"
"1294","ActionOne","getStudents","Completed","00:44:00.005537700"
"1295","ActionOne","getTeacher","Start","00:44:00.018543300"
"1296","ActionOne","getTeacher","Completed","00:44:01.015321300"
"1297","ActionOne","getBooks","Start","00:44:01.031608900"
"1298","ActionOne","getBooks","Completed","00:44:01.984061700"
"1299","ActionOne","getEvents","Start","00:44:01.987120200"
"1300","ActionOne","getEvents","Completed","00:44:02.899773300"
"1301","ActionOne","getExams","Start","00:44:02.914290900"
"1302","ActionOne","getExams","Completed","00:44:03.922879100"
"1303","ActionOne","getManagement","Start","00:44:03.931559500"
"1304","ActionOne","getManagement","Completed","00:44:04.829735400"
"1305","ActionOne","getParents","Start","00:44:04.839213500"
"1306","ActionOne","getParents","Completed","00:44:05.841979600"
"1307","ActionOne","getSports","Start","00:44:05.854977600"
"1308","ActionOne","getSports","Completed","00:44:07.089210800"
"1309","ActionOne","getStudents","Start","00:44:07.101839200"
"1310","ActionOne","getStudents","Completed","00:44:08.114751500"
"1311","ActionOne","getTeacher","Start","00:44:08.129823700"
"1312","ActionOne","getTeacher","Completed","00:44:09.081411100"
"1313","ActionOne","getBooks","Start","00:44:09.084409700"
"1314","ActionOne","getBooks","Completed","00:44:10.121334500"
"1315","ActionOne","getEvents","Start","00:44:10.132947700"
"1316","ActionOne","getEvents","Completed","00:44:11.060799600"
"1317","ActionOne","getExams","Start","00:44:11.069741400"
"1318","ActionOne","getExams","Completed","00:44:11.993988900"
"1319","ActionOne","getManagement","Start","00:44:12.007145400"
"1320","ActionOne","getManagement","Completed","00:44:12.912257100"
"1321","ActionOne","getParents","Start","00:44:12.929074400"
"1322","ActionOne","getParents","Completed","00:44:13.882920100"
"1323","ActionOne","getSports","Start","00:44:13.898592700"
"1324","ActionOne","getSports","Completed","00:44:14.812897400"
"1325","ActionOne","getStudents","Start","00:44:14.823220400"
"1326","ActionOne","getStudents","Completed","00:44:15.744668800"
"1327","ActionOne","getTeacher","Start","00:44:15.747209100"
"1328","ActionOne","getTeacher","Completed","00:44:16.854605200"
"1329","ActionOne","getBooks","Start","00:44:16.856620300"
"1330","ActionOne","getBooks","Completed","00:44:17.889154100"
"1331","ActionOne","getEvents","Start","00:44:17.899685500"
"1332","ActionOne","getEvents","Completed","00:44:18.840652100"
"1333","ActionOne","getExams","Start","00:44:18.843638100"
"1334","ActionOne","getExams","Completed","00:44:19.892119400"
"1335","ActionOne","getManagement","Start","00:44:19.903119600"
"1336","ActionOne","getManagement","Completed","00:44:20.996870800"
"1337","ActionOne","getParents","Start","00:44:20.999914200"
"1338","ActionOne","getParents","Completed","00:44:22.084910800"
"1339","ActionOne","getSports","Start","00:44:22.091911500"
"1340","ActionOne","getSports","Completed","00:44:23.221503200"
"1341","ActionOne","getStudents","Start","00:44:23.230583300"
"1342","ActionOne","getStudents","Completed","00:44:24.234287800"
"1343","ActionOne","getTeacher","Start","00:44:24.242929900"
"1344","ActionOne","getTeacher","Completed","00:44:25.177372"
"1345","ActionOne","getBooks","Start","00:44:25.181390400"
"1346","ActionOne","getBooks","Completed","00:44:26.153060500"
"1347","ActionOne","getEvents","Start","00:44:26.168080800"
"1348","ActionOne","getEvents","Completed","00:44:27.408093700"
"1349","ActionOne","getExams","Start","00:44:27.415740"
"1350","ActionOne","getExams","Completed","00:44:28.518485300"
"1351","ActionOne","getManagement","Start","00:44:28.525977500"
"1352","ActionOne","getManagement","Completed","00:44:29.461696"
"1353","ActionOne","getParents","Start","00:44:29.466595600"
"1354","ActionOne","getParents","Completed","00:44:30.507799600"
"1355","ActionOne","getSports","Start","00:44:30.516797300"
"1356","ActionOne","getSports","Completed","00:44:31.509046100"
"1357","ActionOne","getStudents","Start","00:44:31.520148400"
"1358","ActionOne","getStudents","Completed","00:44:32.426649100"
"1359","ActionOne","getTeacher","Start","00:44:32.430521500"
"1360","ActionOne","getTeacher","Completed","00:44:33.372127400"
"1361","ActionOne","getBooks","Start","00:44:33.386598300"
"1362","ActionOne","getBooks","Completed","00:44:34.313313"
"1363","ActionOne","getEvents","Start","00:44:34.323721700"
"1364","ActionOne","getEvents","Completed","00:44:35.275566700"
"1365","ActionOne","getExams","Start","00:44:35.291893400"
"1366","ActionOne","getExams","Completed","00:44:36.319153500"
"1367","ActionOne","getManagement","Start","00:44:36.322195300"
"1368","ActionOne","getManagement","Completed","00:44:37.547148500"
"1369","ActionOne","getParents","Start","00:44:37.551891400"
"1370","ActionOne","getParents","Completed","00:44:38.730791800"
"1371","ActionOne","getSports","Start","00:44:38.736765100"
"1372","ActionOne","getSports","Completed","00:44:39.944699"
"1373","ActionOne","getStudents","Start","00:44:39.950363700"
"1374","ActionOne","getStudents","Completed","00:44:41.355433600"
"1375","ActionOne","getTeacher","Start","00:44:41.362437700"
"1376","ActionOne","getTeacher","Completed","00:44:42.475311100"
"1377","ActionOne","getBooks","Start","00:44:42.485034500"
"1378","ActionOne","getBooks","Completed","00:44:43.569523800"
"1379","ActionOne","getEvents","Start","00:44:43.580291600"
"1380","ActionOne","getEvents","Completed","00:44:44.824354400"
"1381","ActionOne","getExams","Start","00:44:44.830359600"
"1382","ActionOne","getExams","Completed","00:44:46.093363900"
"1383","ActionOne","getManagement","Start","00:44:46.105407600"
"1384","ActionOne","getManagement","Completed","00:44:47.233448"
"1385","ActionOne","getParents","Start","00:44:47.242446600"
"1386","ActionOne","getParents","Completed","00:44:48.645025"
"1387","ActionOne","getSports","Start","00:44:48.651039400"
"1388","ActionOne","getSports","Completed","00:44:50.663785500"
"1389","ActionOne","getStudents","Start","00:44:50.673775500"
"1390","ActionOne","getStudents","Completed","00:44:52.343238600"
"1391","ActionOne","getTeacher","Start","00:44:52.359239500"
"1392","ActionOne","getTeacher","Completed","00:44:54.019018800"
"1393","ActionOne","getBooks","Start","00:44:54.033329300"
"1394","ActionOne","getBooks","Completed","00:44:55.130280100"
"1395","ActionOne","getEvents","Start","00:44:55.139271300"
"1396","ActionOne","getEvents","Completed","00:44:56.133692700"
"1397","ActionOne","getExams","Start","00:44:56.137056200"
"1398","ActionOne","getExams","Completed","00:44:57.139718100"
"1399","ActionOne","getManagement","Start","00:44:57.156900100"
"1400","ActionOne","getManagement","Completed","00:44:58.143302700"
"1401","ActionOne","getParents","Start","00:44:58.158751300"
"1402","ActionOne","getParents","Completed","00:44:59.143472600"
"1403","ActionOne","getSports","Start","00:44:59.148705100"
"1404","ActionOne","getSports","Completed","00:45:00.268865100"
"1405","ActionOne","getStudents","Start","00:45:00.270875100"
"1406","ActionOne","getStudents","Completed","00:45:01.304518800"
"1407","ActionOne","getTeacher","Start","00:45:01.320543800"
"1408","ActionOne","getTeacher","Completed","00:45:02.212504400"
"1409","ActionOne","getBooks","Start","00:45:02.226237100"
"1410","ActionOne","getBooks","Completed","00:45:03.232619200"
"1411","ActionOne","getEvents","Start","00:45:03.241991800"
"1412","ActionOne","getEvents","Completed","00:45:04.135964300"
"1413","ActionOne","getExams","Start","00:45:04.148821400"
"1414","ActionOne","getExams","Completed","00:45:05.057538500"
"1415","ActionOne","getManagement","Start","00:45:05.059493300"
"1416","ActionOne","getManagement","Completed","00:45:05.998704300"
"1417","ActionOne","getParents","Start","00:45:06.012693200"
"1418","ActionOne","getParents","Completed","00:45:07.098783300"
"1419","ActionOne","getSports","Start","00:45:07.105337100"
"1420","ActionOne","getSports","Completed","00:45:08.027697900"
"1421","ActionOne","getStudents","Start","00:45:08.030739800"
"1422","ActionOne","getStudents","Completed","00:45:08.988393800"
"1423","ActionOne","getTeacher","Start","00:45:09.002711700"
"1424","ActionOne","getTeacher","Completed","00:45:10.023145800"
"1425","ActionOne","getBooks","Start","00:45:10.034094"
"1426","ActionOne","getBooks","Completed","00:45:11.166568"
"1427","ActionOne","getEvents","Start","00:45:11.168585700"
"1428","ActionOne","getEvents","Completed","00:45:12.104258700"
"1429","ActionOne","getExams","Start","00:45:12.109863100"
"1430","ActionOne","getExams","Completed","00:45:13.049449200"
"1431","ActionOne","getManagement","Start","00:45:13.052674700"
"1432","ActionOne","getManagement","Completed","00:45:13.967867200"
"1433","ActionOne","getParents","Start","00:45:13.980915800"
"1434","ActionOne","getParents","Completed","00:45:14.994430100"
"1435","ActionOne","getSports","Start","00:45:15.001198800"
"1436","ActionOne","getSports","Completed","00:45:15.966180100"
"1437","ActionOne","getStudents","Start","00:45:15.970191500"
"1438","ActionOne","getStudents","Completed","00:45:16.903799600"
"1439","ActionOne","getTeacher","Start","00:45:16.920333800"
"1440","ActionOne","getTeacher","Completed","00:45:17.873335300"
"1441","ActionOne","getBooks","Start","00:45:17.876295700"
"1442","ActionOne","getBooks","Completed","00:45:18.876150400"
"1443","ActionOne","getEvents","Start","00:45:18.893143300"
"1444","ActionOne","getEvents","Completed","00:45:19.955511700"
"1445","ActionOne","getExams","Start","00:45:19.973514500"
"1446","ActionOne","getExams","Completed","00:45:21.008148800"
"1447","ActionOne","getManagement","Start","00:45:21.016239500"
"1448","ActionOne","getManagement","Completed","00:45:21.921100300"
"1449","ActionOne","getParents","Start","00:45:21.937460400"
"1450","ActionOne","getParents","Completed","00:45:22.867157200"
"1451","ActionOne","getSports","Start","00:45:22.875096300"
"1452","ActionOne","getSports","Completed","00:45:23.956428100"
"1453","ActionOne","getStudents","Start","00:45:23.966185500"
"1454","ActionOne","getStudents","Completed","00:45:24.942001900"
"1455","ActionOne","getTeacher","Start","00:45:24.951730300"
"1456","ActionOne","getTeacher","Completed","00:45:25.844584700"
"1457","ActionOne","getBooks","Start","00:45:25.861589200"
"1458","ActionOne","getBooks","Completed","00:45:26.849135900"
"1459","ActionOne","getEvents","Start","00:45:26.857326900"
"1460","ActionOne","getEvents","Completed","00:45:27.857687900"
"1461","ActionOne","getExams","Start","00:45:27.872375300"
"1462","ActionOne","getExams","Completed","00:45:28.908759600"
"1463","ActionOne","getManagement","Start","00:45:28.918722300"
"1464","ActionOne","getManagement","Completed","00:45:29.985162700"
"1465","ActionOne","getParents","Start","00:45:29.995317900"
"1466","ActionOne","getParents","Completed","00:45:30.999793300"
"1467","ActionOne","getSports","Start","00:45:31.010302300"
"1468","ActionOne","getSports","Completed","00:45:31.954104300"
"1469","ActionOne","getStudents","Start","00:45:31.964660600"
"1470","ActionOne","getStudents","Completed","00:45:32.936547400"
"1471","ActionOne","getTeacher","Start","00:45:32.947242500"
"1472","ActionOne","getTeacher","Completed","00:45:33.855994900"
"1473","ActionOne","getBooks","Start","00:45:33.872820300"
"1474","ActionOne","getBooks","Completed","00:45:34.795436900"
"1475","ActionOne","getEvents","Start","00:45:34.810926"
"1476","ActionOne","getEvents","Completed","00:45:35.731851200"
"1477","ActionOne","getExams","Start","00:45:35.747719900"
"1478","ActionOne","getExams","Completed","00:45:36.622021900"
"1479","ActionOne","getManagement","Start","00:45:36.639068100"
"1480","ActionOne","getManagement","Completed","00:45:37.654327900"
"1481","ActionOne","getParents","Start","00:45:37.669363100"
"1482","ActionOne","getParents","Completed","00:45:38.639656300"
"1483","ActionOne","getSports","Start","00:45:38.652669500"
"1484","ActionOne","getSports","Completed","00:45:39.599862300"
"1485","ActionOne","getStudents","Start","00:45:39.605888700"
"1486","ActionOne","getStudents","Completed","00:45:40.562374600"
"1487","ActionOne","getTeacher","Start","00:45:40.574342"
"1488","ActionOne","getTeacher","Completed","00:45:41.873269200"
"1489","ActionOne","getBooks","Start","00:45:41.886267600"
"1490","ActionOne","getBooks","Completed","00:45:42.984897800"
"1491","ActionOne","getEvents","Start","00:45:42.993898500"
"1492","ActionOne","getEvents","Completed","00:45:43.930688800"
"1493","ActionOne","getExams","Start","00:45:43.945300700"
"1494","ActionOne","getExams","Completed","00:45:44.845105"
"1495","ActionOne","getManagement","Start","00:45:44.852421800"
"1496","ActionOne","getManagement","Completed","00:45:45.770064500"
"1497","ActionOne","getParents","Start","00:45:45.776482200"
"1498","ActionOne","getParents","Completed","00:45:46.709845900"
"1499","ActionOne","getSports","Start","00:45:46.713969"
"1500","ActionOne","getSports","Completed","00:45:47.747113500"
"1501","ActionOne","getStudents","Start","00:45:47.757779900"
"1502","ActionOne","getStudents","Completed","00:45:48.673479900"
"1503","ActionOne","getTeacher","Start","00:45:48.681474200"
"1504","ActionOne","getTeacher","Completed","00:45:49.643605200"
"1505","ActionOne","getBooks","Start","00:45:49.647613200"
"1506","ActionOne","getBooks","Completed","00:45:50.661002"
"1507","ActionOne","getEvents","Start","00:45:50.678000600"
"1508","ActionOne","getEvents","Completed","00:45:51.762794500"
"1509","ActionOne","getExams","Start","00:45:51.772404600"
"1510","ActionOne","getExams","Completed","00:45:52.668560800"
"1511","ActionOne","getManagement","Start","00:45:52.679196900"
"1512","ActionOne","getManagement","Completed","00:45:53.649230600"
"1513","ActionOne","getParents","Start","00:45:53.663870"
"1514","ActionOne","getParents","Completed","00:45:54.558353700"
"1515","ActionOne","getSports","Start","00:45:54.572307500"
"1516","ActionOne","getSports","Completed","00:45:55.504244300"
"1517","ActionOne","getStudents","Start","00:45:55.508240500"
"1518","ActionOne","getStudents","Completed","00:45:56.378631200"
"1519","ActionOne","getTeacher","Start","00:45:56.389613700"
"1520","ActionOne","getTeacher","Completed","00:45:57.798886500"
"1521","ActionOne","getBooks","Start","00:45:57.805323100"
"1522","ActionOne","getBooks","Completed","00:45:58.816197700"
"1523","ActionOne","getEvents","Start","00:45:58.821398200"
"1524","ActionOne","getEvents","Completed","00:45:59.803987400"
"1525","ActionOne","getExams","Start","00:45:59.820993300"
"1526","ActionOne","getExams","Completed","00:46:00.766777500"
"1527","ActionOne","getManagement","Start","00:46:00.774858300"
"1528","ActionOne","getManagement","Completed","00:46:01.833224800"
"1529","ActionOne","getParents","Start","00:46:01.849729100"
"1530","ActionOne","getParents","Completed","00:46:02.761475"
"1531","ActionOne","getSports","Start","00:46:02.773118"
"1532","ActionOne","getSports","Completed","00:46:03.682034"
"1533","ActionOne","getStudents","Start","00:46:03.694129300"
"1534","ActionOne","getStudents","Completed","00:46:04.583531200"
"1535","ActionOne","getTeacher","Start","00:46:04.585594600"
"1536","ActionOne","getTeacher","Completed","00:46:05.505210200"
"1537","ActionOne","getBooks","Start","00:46:05.507221400"
"1538","ActionOne","getBooks","Completed","00:46:06.446205300"
"1539","ActionOne","getEvents","Start","00:46:06.460668100"
"1540","ActionOne","getEvents","Completed","00:46:07.432451800"
"1541","ActionOne","getExams","Start","00:46:07.443450"
"1542","ActionOne","getExams","Completed","00:46:08.378906800"
"1543","ActionOne","getManagement","Start","00:46:08.381964100"
"1544","ActionOne","getManagement","Completed","00:46:09.315948300"
"1545","ActionOne","getParents","Start","00:46:09.318947600"
"1546","ActionOne","getParents","Completed","00:46:10.347073400"
"1547","ActionOne","getSports","Start","00:46:10.362732100"
"1548","ActionOne","getSports","Completed","00:46:11.417806200"
"1549","ActionOne","getStudents","Start","00:46:11.424777"
"1550","ActionOne","getStudents","Completed","00:46:12.336089400"
"1551","ActionOne","getTeacher","Start","00:46:12.338104100"
"1552","ActionOne","getTeacher","Completed","00:46:13.275919900"
"1553","ActionOne","getBooks","Start","00:46:13.291687200"
"1554","ActionOne","getBooks","Completed","00:46:14.188021900"
"1555","ActionOne","getEvents","Start","00:46:14.202139"
"1556","ActionOne","getEvents","Completed","00:46:15.116562"
"1557","ActionOne","getExams","Start","00:46:15.128872200"
"1558","ActionOne","getExams","Completed","00:46:16.040283200"
"1559","ActionOne","getManagement","Start","00:46:16.055024400"
"1560","ActionOne","getManagement","Completed","00:46:17.000178300"
"1561","ActionOne","getParents","Start","00:46:17.011080400"
"1562","ActionOne","getParents","Completed","00:46:17.953845600"
"1563","ActionOne","getSports","Start","00:46:17.967607400"
"1564","ActionOne","getSports","Completed","00:46:18.880022800"
"1565","ActionOne","getStudents","Start","00:46:18.892469300"
"1566","ActionOne","getStudents","Completed","00:46:19.921103200"
"1567","ActionOne","getTeacher","Start","00:46:19.927109500"
"1568","ActionOne","getTeacher","Completed","00:46:20.922077700"
"1569","ActionOne","getBooks","Start","00:46:20.929071900"
"1570","ActionOne","getBooks","Completed","00:46:21.895145200"
"1571","ActionOne","getEvents","Start","00:46:21.903235500"
"1572","ActionOne","getEvents","Completed","00:46:22.813216900"
"1573","ActionOne","getExams","Start","00:46:22.826785700"
"1574","ActionOne","getExams","Completed","00:46:23.743308100"
"1575","ActionOne","getManagement","Start","00:46:23.750694"
"1576","ActionOne","getManagement","Completed","00:46:24.696214600"
"1577","ActionOne","getParents","Start","00:46:24.702212"
"1578","ActionOne","getParents","Completed","00:46:25.589079"
"1579","ActionOne","getSports","Start","00:46:25.595177700"
"1580","ActionOne","getSports","Completed","00:46:26.538869700"
"1581","ActionOne","getStudents","Start","00:46:26.549659600"
"1582","ActionOne","getStudents","Completed","00:46:27.830789"
"1583","ActionOne","getTeacher","Start","00:46:27.839790600"
"1584","ActionOne","getTeacher","Completed","00:46:29.054673200"
"1585","ActionOne","getBooks","Start","00:46:29.058784900"
"1586","ActionOne","getBooks","Completed","00:46:30.199957"
"1587","ActionOne","getEvents","Start","00:46:30.211961"
"1588","ActionOne","getEvents","Completed","00:46:31.438252400"
"1589","ActionOne","getExams","Start","00:46:31.441057400"
"1590","ActionOne","getExams","Completed","00:46:32.355994"
"1591","ActionOne","getManagement","Start","00:46:32.362871400"
"1592","ActionOne","getManagement","Completed","00:46:33.301695300"
"1593","ActionOne","getParents","Start","00:46:33.318403200"
"1594","ActionOne","getParents","Completed","00:46:34.248087800"
"1595","ActionOne","getSports","Start","00:46:34.255087900"
"1596","ActionOne","getSports","Completed","00:46:35.167869900"
"1597","ActionOne","getStudents","Start","00:46:35.177961600"
"1598","ActionOne","getStudents","Completed","00:46:36.064382800"
"1599","ActionOne","getTeacher","Start","00:46:36.068846400"
"1600","ActionOne","getTeacher","Completed","00:46:36.988545800"
"1601","ActionOne","getBooks","Start","00:46:36.989909"
"1602","ActionOne","getBooks","Completed","00:46:37.957571600"
"1603","ActionOne","getEvents","Start","00:46:37.972385900"
"1604","ActionOne","getEvents","Completed","00:46:38.904594100"
"1605","ActionOne","getExams","Start","00:46:38.912173100"
"1606","ActionOne","getExams","Completed","00:46:39.910565300"
"1607","ActionOne","getManagement","Start","00:46:39.926576200"
"1608","ActionOne","getManagement","Completed","00:46:41.099988900"
"1609","ActionOne","getParents","Start","00:46:41.109312400"
"1610","ActionOne","getParents","Completed","00:46:42.083288500"
"1611","ActionOne","getSports","Start","00:46:42.098284800"
"1612","ActionOne","getSports","Completed","00:46:43.053203800"
"1613","ActionOne","getStudents","Start","00:46:43.070026500"
"1614","ActionOne","getStudents","Completed","00:46:43.972863100"
"1615","ActionOne","getTeacher","Start","00:46:43.976863800"
"1616","ActionOne","getTeacher","Completed","00:46:44.904696500"
"1617","ActionOne","getBooks","Start","00:46:44.915146500"
"1618","ActionOne","getBooks","Completed","00:46:45.826357600"
"1619","ActionOne","getEvents","Start","00:46:45.839904500"
"1620","ActionOne","getEvents","Completed","00:46:46.759783100"
"1621","ActionOne","getExams","Start","00:46:46.761796800"
"1622","ActionOne","getExams","Completed","00:46:47.795010600"
"1623","ActionOne","getManagement","Start","00:46:47.807188700"
"1624","ActionOne","getManagement","Completed","00:46:48.776193900"
"1625","ActionOne","getParents","Start","00:46:48.788802500"
"1626","ActionOne","getParents","Completed","00:46:49.752317600"
"1627","ActionOne","getSports","Start","00:46:49.758428500"
"1628","ActionOne","getSports","Completed","00:46:50.855333200"
"1629","ActionOne","getStudents","Start","00:46:50.866898200"
"1630","ActionOne","getStudents","Completed","00:46:51.834487300"
"1631","ActionOne","getTeacher","Start","00:46:51.847722500"
"1632","ActionOne","getTeacher","Completed","00:46:52.773040300"
"1633","ActionOne","getBooks","Start","00:46:52.784016"
"1634","ActionOne","getBooks","Completed","00:46:53.813221200"
"1635","ActionOne","getEvents","Start","00:46:53.829163300"
"1636","ActionOne","getEvents","Completed","00:46:54.831887800"
"1637","ActionOne","getExams","Start","00:46:54.846666100"
"1638","ActionOne","getExams","Completed","00:46:55.812193300"
"1639","ActionOne","getManagement","Start","00:46:55.818181700"
"1640","ActionOne","getManagement","Completed","00:46:57.169457800"
"1641","ActionOne","getParents","Start","00:46:57.184908"
"1642","ActionOne","getParents","Completed","00:46:58.527993600"
"1643","ActionOne","getSports","Start","00:46:58.537182"
"1644","ActionOne","getSports","Completed","00:46:59.875251100"
"1645","ActionOne","getStudents","Start","00:46:59.888265600"
"1646","ActionOne","getStudents","Completed","00:47:01.213152100"
"1647","ActionOne","getTeacher","Start","00:47:01.217166100"
"1648","ActionOne","getTeacher","Completed","00:47:02.198974100"
"1649","ActionOne","getBooks","Start","00:47:02.216013100"
"1650","ActionOne","getBooks","Completed","00:47:03.181792700"
"1651","ActionOne","getEvents","Start","00:47:03.183792100"
"1652","ActionOne","getEvents","Completed","00:47:04.193450500"
"1653","ActionOne","getExams","Start","00:47:04.201245300"
"1654","ActionOne","getExams","Completed","00:47:05.099821700"
"1655","ActionOne","getManagement","Start","00:47:05.107520400"
"1656","ActionOne","getManagement","Completed","00:47:06.074152900"
"1657","ActionOne","getParents","Start","00:47:06.077148"
"1658","ActionOne","getParents","Completed","00:47:07.025122300"
"1659","ActionOne","getSports","Start","00:47:07.029010500"
"1660","ActionOne","getSports","Completed","00:47:07.985667100"
"1661","ActionOne","getStudents","Start","00:47:07.998937600"
"1662","ActionOne","getStudents","Completed","00:47:08.932906300"
"1663","ActionOne","getTeacher","Start","00:47:08.935055100"
"1664","ActionOne","getTeacher","Completed","00:47:10.034419300"
"1665","ActionOne","getBooks","Start","00:47:10.041178600"
"1666","ActionOne","getBooks","Completed","00:47:10.991241300"
"1667","ActionOne","getEvents","Start","00:47:10.995847"
"1668","ActionOne","getEvents","Completed","00:47:11.941174200"
"1669","ActionOne","getExams","Start","00:47:11.947805400"
"1670","ActionOne","getExams","Completed","00:47:12.893721800"
"1671","ActionOne","getManagement","Start","00:47:12.901332400"
"1672","ActionOne","getManagement","Completed","00:47:13.893503300"
"1673","ActionOne","getParents","Start","00:47:13.900587"
"1674","ActionOne","getParents","Completed","00:47:15.014678700"
"1675","ActionOne","getSports","Start","00:47:15.022826500"
"1676","ActionOne","getSports","Completed","00:47:15.999235700"
"1677","ActionOne","getStudents","Start","00:47:16.009256800"
"1678","ActionOne","getStudents","Completed","00:47:16.964162500"
"1679","ActionOne","getTeacher","Start","00:47:16.980400300"
"1680","ActionOne","getTeacher","Completed","00:47:17.962636400"
"1681","ActionOne","getBooks","Start","00:47:17.966237300"
"1682","ActionOne","getBooks","Completed","00:47:18.937266300"
"1683","ActionOne","getEvents","Start","00:47:18.949551900"
"1684","ActionOne","getEvents","Completed","00:47:20.098787500"
"1685","ActionOne","getExams","Start","00:47:20.103844300"
"1686","ActionOne","getExams","Completed","00:47:21.032824300"
"1687","ActionOne","getManagement","Start","00:47:21.046098100"
"1688","ActionOne","getManagement","Completed","00:47:22.061563"
"1689","ActionOne","getParents","Start","00:47:22.078062300"
"1690","ActionOne","getParents","Completed","00:47:23.018503100"
"1691","ActionOne","getSports","Start","00:47:23.030125"
"1692","ActionOne","getSports","Completed","00:47:24.014654300"
"1693","ActionOne","getStudents","Start","00:47:24.026881"
"1694","ActionOne","getStudents","Completed","00:47:24.976893400"
"1695","ActionOne","getTeacher","Start","00:47:24.981888200"
"1696","ActionOne","getTeacher","Completed","00:47:26.029716500"
"1697","ActionOne","getBooks","Start","00:47:26.043435"
"1698","ActionOne","getBooks","Completed","00:47:27.207916"
"1699","ActionOne","getEvents","Start","00:47:27.211037200"
"1700","ActionOne","getEvents","Completed","00:47:28.398113600"
"1701","ActionOne","getExams","Start","00:47:28.409645200"
"1702","ActionOne","getExams","Completed","00:47:29.343011900"
"1703","ActionOne","getManagement","Start","00:47:29.346073100"
"1704","ActionOne","getManagement","Completed","00:47:30.479018400"
"1705","ActionOne","getParents","Start","00:47:30.484016800"
"1706","ActionOne","getParents","Completed","00:47:31.848464700"
"1707","ActionOne","getSports","Start","00:47:31.855463300"
"1708","ActionOne","getSports","Completed","00:47:33.223294400"
"1709","ActionOne","getStudents","Start","00:47:33.237360500"
"1710","ActionOne","getStudents","Completed","00:47:35.140073300"
"1711","ActionOne","getTeacher","Start","00:47:35.146878"
"1712","ActionOne","getTeacher","Completed","00:47:37.403275800"
"1713","ActionOne","getBooks","Start","00:47:37.417409300"
"1714","ActionOne","getBooks","Completed","00:47:39.233838"
"1715","ActionOne","getEvents","Start","00:47:39.250200900"
"1716","ActionOne","getEvents","Completed","00:47:41.074918600"
"1717","ActionOne","getExams","Start","00:47:41.081476700"
"1718","ActionOne","getExams","Completed","00:47:42.914763300"
"1719","ActionOne","getManagement","Start","00:47:42.918762400"
"1720","ActionOne","getManagement","Completed","00:47:44.521341"
"1721","ActionOne","getParents","Start","00:47:44.534879900"
"1722","ActionOne","getParents","Completed","00:47:45.749699500"
"1723","ActionOne","getSports","Start","00:47:45.764210100"
"1724","ActionOne","getSports","Completed","00:47:47.114767100"
"1725","ActionOne","getStudents","Start","00:47:47.117102500"
"1726","ActionOne","getStudents","Completed","00:47:48.236030200"
"1727","ActionOne","getTeacher","Start","00:47:48.238973300"
"1728","ActionOne","getTeacher","Completed","00:47:49.139680200"
"1729","ActionOne","getBooks","Start","00:47:49.149994300"
"1730","ActionOne","getBooks","Completed","00:47:50.171827700"
"1731","ActionOne","getEvents","Start","00:47:50.179687500"
"1732","ActionOne","getEvents","Completed","00:47:51.064733400"
"1733","ActionOne","getExams","Start","00:47:51.073914500"
"1734","ActionOne","getExams","Completed","00:47:52.007401300"
"1735","ActionOne","getManagement","Start","00:47:52.014414"
"1736","ActionOne","getManagement","Completed","00:47:52.928614200"
"1737","ActionOne","getParents","Start","00:47:52.936585"
"1738","ActionOne","getParents","Completed","00:47:53.866948400"
"1739","ActionOne","getSports","Start","00:47:53.873940100"
"1740","ActionOne","getSports","Completed","00:47:54.897618600"
"1741","ActionOne","getStudents","Start","00:47:54.903604600"
"1742","ActionOne","getStudents","Completed","00:47:55.786821600"
"1743","ActionOne","getTeacher","Start","00:47:55.796991700"
"1744","ActionOne","getTeacher","Completed","00:47:56.690366300"
