INSERT INTO BES.Exams VALUES(1,'ExamsName-1','ExamsDescription-1');
INSERT INTO BES.Exams VALUES(3004,'ExamsName-3004','ExamsDescription-3004');
INSERT INTO BES.Exams VALUES(3005,'ExamsName-3005','ExamsDescription-3005');
INSERT INTO BES.Exams VALUES(3006,'ExamsName-3006','ExamsDescription-3006');
INSERT INTO BES.Exams VALUES(3007,'ExamsName-3007','ExamsDescription-3007');
INSERT INTO BES.Exams VALUES(3008,'ExamsName-3008','ExamsDescription-3008');
INSERT INTO BES.Exams VALUES(3009,'ExamsName-3009','ExamsDescription-3009');
INSERT INTO BES.Exams VALUES(3010,'ExamsName-3010','ExamsDescription-3010');
INSERT INTO BES.Exams VALUES(3011,'ExamsName-3011','ExamsDescription-3011');
INSERT INTO BES.Exams VALUES(3012,'ExamsName-3012','ExamsDescription-3012');
INSERT INTO BES.Exams VALUES(3013,'ExamsName-3013','ExamsDescription-3013');
INSERT INTO BES.Exams VALUES(3014,'ExamsName-3014','ExamsDescription-3014');
INSERT INTO BES.Exams VALUES(3015,'ExamsName-3015','ExamsDescription-3015');
INSERT INTO BES.Exams VALUES(3016,'ExamsName-3016','ExamsDescription-3016');
INSERT INTO BES.Exams VALUES(3017,'ExamsName-3017','ExamsDescription-3017');
INSERT INTO BES.Exams VALUES(3018,'ExamsName-3018','ExamsDescription-3018');
INSERT INTO BES.Exams VALUES(3019,'ExamsName-3019','ExamsDescription-3019');
INSERT INTO BES.Exams VALUES(3020,'ExamsName-3020','ExamsDescription-3020');
INSERT INTO BES.Exams VALUES(3021,'ExamsName-3021','ExamsDescription-3021');
INSERT INTO BES.Exams VALUES(3022,'ExamsName-3022','ExamsDescription-3022');
INSERT INTO BES.Exams VALUES(3023,'ExamsName-3023','ExamsDescription-3023');
INSERT INTO BES.Exams VALUES(3024,'ExamsName-3024','ExamsDescription-3024');
INSERT INTO BES.Exams VALUES(3025,'ExamsName-3025','ExamsDescription-3025');
INSERT INTO BES.Exams VALUES(3026,'ExamsName-3026','ExamsDescription-3026');
INSERT INTO BES.Exams VALUES(3027,'ExamsName-3027','ExamsDescription-3027');
INSERT INTO BES.Exams VALUES(3028,'ExamsName-3028','ExamsDescription-3028');
INSERT INTO BES.Exams VALUES(3029,'ExamsName-3029','ExamsDescription-3029');
INSERT INTO BES.Exams VALUES(3030,'ExamsName-3030','ExamsDescription-3030');
INSERT INTO BES.Exams VALUES(3031,'ExamsName-3031','ExamsDescription-3031');
INSERT INTO BES.Exams VALUES(3032,'ExamsName-3032','ExamsDescription-3032');
INSERT INTO BES.Exams VALUES(3033,'ExamsName-3033','ExamsDescription-3033');
INSERT INTO BES.Exams VALUES(3034,'ExamsName-3034','ExamsDescription-3034');
INSERT INTO BES.Exams VALUES(3035,'ExamsName-3035','ExamsDescription-3035');
INSERT INTO BES.Exams VALUES(3036,'ExamsName-3036','ExamsDescription-3036');
INSERT INTO BES.Exams VALUES(3037,'ExamsName-3037','ExamsDescription-3037');
INSERT INTO BES.Exams VALUES(3038,'ExamsName-3038','ExamsDescription-3038');
INSERT INTO BES.Exams VALUES(3039,'ExamsName-3039','ExamsDescription-3039');
INSERT INTO BES.Exams VALUES(3040,'ExamsName-3040','ExamsDescription-3040');
INSERT INTO BES.Exams VALUES(3041,'ExamsName-3041','ExamsDescription-3041');
INSERT INTO BES.Exams VALUES(3042,'ExamsName-3042','ExamsDescription-3042');
INSERT INTO BES.Exams VALUES(3043,'ExamsName-3043','ExamsDescription-3043');
INSERT INTO BES.Exams VALUES(3044,'ExamsName-3044','ExamsDescription-3044');
INSERT INTO BES.Exams VALUES(3045,'ExamsName-3045','ExamsDescription-3045');
INSERT INTO BES.Exams VALUES(3046,'ExamsName-3046','ExamsDescription-3046');
INSERT INTO BES.Exams VALUES(3047,'ExamsName-3047','ExamsDescription-3047');
INSERT INTO BES.Exams VALUES(3048,'ExamsName-3048','ExamsDescription-3048');
INSERT INTO BES.Exams VALUES(3049,'ExamsName-3049','ExamsDescription-3049');
INSERT INTO BES.Exams VALUES(3050,'ExamsName-3050','ExamsDescription-3050');
INSERT INTO BES.Exams VALUES(3051,'ExamsName-3051','ExamsDescription-3051');
INSERT INTO BES.Exams VALUES(3052,'ExamsName-3052','ExamsDescription-3052');
INSERT INTO BES.Exams VALUES(3053,'ExamsName-3053','ExamsDescription-3053');
INSERT INTO BES.Exams VALUES(3054,'ExamsName-3054','ExamsDescription-3054');
INSERT INTO BES.Exams VALUES(3055,'ExamsName-3055','ExamsDescription-3055');
INSERT INTO BES.Exams VALUES(3056,'ExamsName-3056','ExamsDescription-3056');
INSERT INTO BES.Exams VALUES(3057,'ExamsName-3057','ExamsDescription-3057');
INSERT INTO BES.Exams VALUES(3058,'ExamsName-3058','ExamsDescription-3058');
INSERT INTO BES.Exams VALUES(3059,'ExamsName-3059','ExamsDescription-3059');
INSERT INTO BES.Exams VALUES(3060,'ExamsName-3060','ExamsDescription-3060');
INSERT INTO BES.Exams VALUES(3061,'ExamsName-3061','ExamsDescription-3061');
INSERT INTO BES.Exams VALUES(3062,'ExamsName-3062','ExamsDescription-3062');
INSERT INTO BES.Exams VALUES(3063,'ExamsName-3063','ExamsDescription-3063');
INSERT INTO BES.Exams VALUES(3064,'ExamsName-3064','ExamsDescription-3064');
INSERT INTO BES.Exams VALUES(3065,'ExamsName-3065','ExamsDescription-3065');
INSERT INTO BES.Exams VALUES(3066,'ExamsName-3066','ExamsDescription-3066');
INSERT INTO BES.Exams VALUES(3067,'ExamsName-3067','ExamsDescription-3067');
INSERT INTO BES.Exams VALUES(3068,'ExamsName-3068','ExamsDescription-3068');
INSERT INTO BES.Exams VALUES(3069,'ExamsName-3069','ExamsDescription-3069');
INSERT INTO BES.Exams VALUES(3070,'ExamsName-3070','ExamsDescription-3070');
INSERT INTO BES.Exams VALUES(3071,'ExamsName-3071','ExamsDescription-3071');
INSERT INTO BES.Exams VALUES(3072,'ExamsName-3072','ExamsDescription-3072');
INSERT INTO BES.Exams VALUES(3073,'ExamsName-3073','ExamsDescription-3073');
INSERT INTO BES.Exams VALUES(3074,'ExamsName-3074','ExamsDescription-3074');
INSERT INTO BES.Exams VALUES(3075,'ExamsName-3075','ExamsDescription-3075');
INSERT INTO BES.Exams VALUES(3076,'ExamsName-3076','ExamsDescription-3076');
INSERT INTO BES.Exams VALUES(3077,'ExamsName-3077','ExamsDescription-3077');
INSERT INTO BES.Exams VALUES(3078,'ExamsName-3078','ExamsDescription-3078');
INSERT INTO BES.Exams VALUES(3079,'ExamsName-3079','ExamsDescription-3079');
INSERT INTO BES.Exams VALUES(3080,'ExamsName-3080','ExamsDescription-3080');
INSERT INTO BES.Exams VALUES(3081,'ExamsName-3081','ExamsDescription-3081');
INSERT INTO BES.Exams VALUES(3082,'ExamsName-3082','ExamsDescription-3082');
INSERT INTO BES.Exams VALUES(3083,'ExamsName-3083','ExamsDescription-3083');
INSERT INTO BES.Exams VALUES(3084,'ExamsName-3084','ExamsDescription-3084');
INSERT INTO BES.Exams VALUES(3085,'ExamsName-3085','ExamsDescription-3085');
INSERT INTO BES.Exams VALUES(3086,'ExamsName-3086','ExamsDescription-3086');
INSERT INTO BES.Exams VALUES(3087,'ExamsName-3087','ExamsDescription-3087');
INSERT INTO BES.Exams VALUES(3088,'ExamsName-3088','ExamsDescription-3088');
INSERT INTO BES.Exams VALUES(3089,'ExamsName-3089','ExamsDescription-3089');
INSERT INTO BES.Exams VALUES(3090,'ExamsName-3090','ExamsDescription-3090');
INSERT INTO BES.Exams VALUES(3091,'ExamsName-3091','ExamsDescription-3091');
INSERT INTO BES.Exams VALUES(3092,'ExamsName-3092','ExamsDescription-3092');
INSERT INTO BES.Exams VALUES(3093,'ExamsName-3093','ExamsDescription-3093');
INSERT INTO BES.Exams VALUES(3094,'ExamsName-3094','ExamsDescription-3094');
INSERT INTO BES.Exams VALUES(3095,'ExamsName-3095','ExamsDescription-3095');
INSERT INTO BES.Exams VALUES(3096,'ExamsName-3096','ExamsDescription-3096');
INSERT INTO BES.Exams VALUES(3097,'ExamsName-3097','ExamsDescription-3097');
INSERT INTO BES.Exams VALUES(3098,'ExamsName-3098','ExamsDescription-3098');
INSERT INTO BES.Exams VALUES(3099,'ExamsName-3099','ExamsDescription-3099');
INSERT INTO BES.Exams VALUES(3100,'ExamsName-3100','ExamsDescription-3100');
INSERT INTO BES.Exams VALUES(3101,'ExamsName-3101','ExamsDescription-3101');
INSERT INTO BES.Exams VALUES(3102,'ExamsName-3102','ExamsDescription-3102');
INSERT INTO BES.Exams VALUES(3103,'ExamsName-3103','ExamsDescription-3103');
INSERT INTO BES.Exams VALUES(3104,'ExamsName-3104','ExamsDescription-3104');
INSERT INTO BES.Exams VALUES(3105,'ExamsName-3105','ExamsDescription-3105');
INSERT INTO BES.Exams VALUES(3106,'ExamsName-3106','ExamsDescription-3106');
INSERT INTO BES.Exams VALUES(3107,'ExamsName-3107','ExamsDescription-3107');
INSERT INTO BES.Exams VALUES(3108,'ExamsName-3108','ExamsDescription-3108');
INSERT INTO BES.Exams VALUES(3109,'ExamsName-3109','ExamsDescription-3109');
INSERT INTO BES.Exams VALUES(3110,'ExamsName-3110','ExamsDescription-3110');
INSERT INTO BES.Exams VALUES(3111,'ExamsName-3111','ExamsDescription-3111');
INSERT INTO BES.Exams VALUES(3112,'ExamsName-3112','ExamsDescription-3112');
INSERT INTO BES.Exams VALUES(3113,'ExamsName-3113','ExamsDescription-3113');
INSERT INTO BES.Exams VALUES(3114,'ExamsName-3114','ExamsDescription-3114');
INSERT INTO BES.Exams VALUES(3115,'ExamsName-3115','ExamsDescription-3115');
INSERT INTO BES.Exams VALUES(3116,'ExamsName-3116','ExamsDescription-3116');
INSERT INTO BES.Exams VALUES(3117,'ExamsName-3117','ExamsDescription-3117');
INSERT INTO BES.Exams VALUES(3118,'ExamsName-3118','ExamsDescription-3118');
INSERT INTO BES.Exams VALUES(3119,'ExamsName-3119','ExamsDescription-3119');
INSERT INTO BES.Exams VALUES(3120,'ExamsName-3120','ExamsDescription-3120');
INSERT INTO BES.Exams VALUES(3121,'ExamsName-3121','ExamsDescription-3121');
INSERT INTO BES.Exams VALUES(3122,'ExamsName-3122','ExamsDescription-3122');
INSERT INTO BES.Exams VALUES(3123,'ExamsName-3123','ExamsDescription-3123');
INSERT INTO BES.Exams VALUES(3124,'ExamsName-3124','ExamsDescription-3124');
INSERT INTO BES.Exams VALUES(3125,'ExamsName-3125','ExamsDescription-3125');
INSERT INTO BES.Exams VALUES(3126,'ExamsName-3126','ExamsDescription-3126');
INSERT INTO BES.Exams VALUES(3127,'ExamsName-3127','ExamsDescription-3127');
INSERT INTO BES.Exams VALUES(3128,'ExamsName-3128','ExamsDescription-3128');
INSERT INTO BES.Exams VALUES(3129,'ExamsName-3129','ExamsDescription-3129');
INSERT INTO BES.Exams VALUES(3130,'ExamsName-3130','ExamsDescription-3130');
INSERT INTO BES.Exams VALUES(3131,'ExamsName-3131','ExamsDescription-3131');
INSERT INTO BES.Exams VALUES(3132,'ExamsName-3132','ExamsDescription-3132');
INSERT INTO BES.Exams VALUES(3133,'ExamsName-3133','ExamsDescription-3133');
INSERT INTO BES.Exams VALUES(3134,'ExamsName-3134','ExamsDescription-3134');
INSERT INTO BES.Exams VALUES(3135,'ExamsName-3135','ExamsDescription-3135');
INSERT INTO BES.Exams VALUES(3136,'ExamsName-3136','ExamsDescription-3136');
INSERT INTO BES.Exams VALUES(3137,'ExamsName-3137','ExamsDescription-3137');
INSERT INTO BES.Exams VALUES(3138,'ExamsName-3138','ExamsDescription-3138');
INSERT INTO BES.Exams VALUES(3139,'ExamsName-3139','ExamsDescription-3139');
INSERT INTO BES.Exams VALUES(3140,'ExamsName-3140','ExamsDescription-3140');
INSERT INTO BES.Exams VALUES(3141,'ExamsName-3141','ExamsDescription-3141');
INSERT INTO BES.Exams VALUES(3142,'ExamsName-3142','ExamsDescription-3142');
INSERT INTO BES.Exams VALUES(3143,'ExamsName-3143','ExamsDescription-3143');
INSERT INTO BES.Exams VALUES(3144,'ExamsName-3144','ExamsDescription-3144');
INSERT INTO BES.Exams VALUES(3145,'ExamsName-3145','ExamsDescription-3145');
INSERT INTO BES.Exams VALUES(3146,'ExamsName-3146','ExamsDescription-3146');
INSERT INTO BES.Exams VALUES(3147,'ExamsName-3147','ExamsDescription-3147');
INSERT INTO BES.Exams VALUES(3148,'ExamsName-3148','ExamsDescription-3148');
INSERT INTO BES.Exams VALUES(3149,'ExamsName-3149','ExamsDescription-3149');
INSERT INTO BES.Exams VALUES(3150,'ExamsName-3150','ExamsDescription-3150');
INSERT INTO BES.Exams VALUES(3151,'ExamsName-3151','ExamsDescription-3151');
INSERT INTO BES.Exams VALUES(3152,'ExamsName-3152','ExamsDescription-3152');
INSERT INTO BES.Exams VALUES(3153,'ExamsName-3153','ExamsDescription-3153');
INSERT INTO BES.Exams VALUES(3154,'ExamsName-3154','ExamsDescription-3154');
INSERT INTO BES.Exams VALUES(3155,'ExamsName-3155','ExamsDescription-3155');
INSERT INTO BES.Exams VALUES(3156,'ExamsName-3156','ExamsDescription-3156');
INSERT INTO BES.Exams VALUES(3157,'ExamsName-3157','ExamsDescription-3157');
INSERT INTO BES.Exams VALUES(3158,'ExamsName-3158','ExamsDescription-3158');
INSERT INTO BES.Exams VALUES(3159,'ExamsName-3159','ExamsDescription-3159');
INSERT INTO BES.Exams VALUES(3160,'ExamsName-3160','ExamsDescription-3160');
INSERT INTO BES.Exams VALUES(3161,'ExamsName-3161','ExamsDescription-3161');
INSERT INTO BES.Exams VALUES(3162,'ExamsName-3162','ExamsDescription-3162');
INSERT INTO BES.Exams VALUES(3163,'ExamsName-3163','ExamsDescription-3163');
INSERT INTO BES.Exams VALUES(3164,'ExamsName-3164','ExamsDescription-3164');
INSERT INTO BES.Exams VALUES(3165,'ExamsName-3165','ExamsDescription-3165');
INSERT INTO BES.Exams VALUES(3166,'ExamsName-3166','ExamsDescription-3166');
INSERT INTO BES.Exams VALUES(3167,'ExamsName-3167','ExamsDescription-3167');
INSERT INTO BES.Exams VALUES(3168,'ExamsName-3168','ExamsDescription-3168');
INSERT INTO BES.Exams VALUES(3169,'ExamsName-3169','ExamsDescription-3169');
INSERT INTO BES.Exams VALUES(3170,'ExamsName-3170','ExamsDescription-3170');
INSERT INTO BES.Exams VALUES(3171,'ExamsName-3171','ExamsDescription-3171');
INSERT INTO BES.Exams VALUES(3172,'ExamsName-3172','ExamsDescription-3172');
INSERT INTO BES.Exams VALUES(3173,'ExamsName-3173','ExamsDescription-3173');
INSERT INTO BES.Exams VALUES(3174,'ExamsName-3174','ExamsDescription-3174');
INSERT INTO BES.Exams VALUES(3175,'ExamsName-3175','ExamsDescription-3175');
INSERT INTO BES.Exams VALUES(3176,'ExamsName-3176','ExamsDescription-3176');
INSERT INTO BES.Exams VALUES(3177,'ExamsName-3177','ExamsDescription-3177');
INSERT INTO BES.Exams VALUES(3178,'ExamsName-3178','ExamsDescription-3178');
INSERT INTO BES.Exams VALUES(3179,'ExamsName-3179','ExamsDescription-3179');
INSERT INTO BES.Exams VALUES(3180,'ExamsName-3180','ExamsDescription-3180');
INSERT INTO BES.Exams VALUES(3181,'ExamsName-3181','ExamsDescription-3181');
INSERT INTO BES.Exams VALUES(3182,'ExamsName-3182','ExamsDescription-3182');
INSERT INTO BES.Exams VALUES(3183,'ExamsName-3183','ExamsDescription-3183');
INSERT INTO BES.Exams VALUES(3184,'ExamsName-3184','ExamsDescription-3184');
INSERT INTO BES.Exams VALUES(3185,'ExamsName-3185','ExamsDescription-3185');
INSERT INTO BES.Exams VALUES(3186,'ExamsName-3186','ExamsDescription-3186');
INSERT INTO BES.Exams VALUES(3187,'ExamsName-3187','ExamsDescription-3187');
INSERT INTO BES.Exams VALUES(3188,'ExamsName-3188','ExamsDescription-3188');
INSERT INTO BES.Exams VALUES(3189,'ExamsName-3189','ExamsDescription-3189');
INSERT INTO BES.Exams VALUES(3190,'ExamsName-3190','ExamsDescription-3190');
INSERT INTO BES.Exams VALUES(3191,'ExamsName-3191','ExamsDescription-3191');
INSERT INTO BES.Exams VALUES(3192,'ExamsName-3192','ExamsDescription-3192');
INSERT INTO BES.Exams VALUES(3193,'ExamsName-3193','ExamsDescription-3193');
INSERT INTO BES.Exams VALUES(3194,'ExamsName-3194','ExamsDescription-3194');
INSERT INTO BES.Exams VALUES(3195,'ExamsName-3195','ExamsDescription-3195');
INSERT INTO BES.Exams VALUES(3196,'ExamsName-3196','ExamsDescription-3196');
INSERT INTO BES.Exams VALUES(3197,'ExamsName-3197','ExamsDescription-3197');
INSERT INTO BES.Exams VALUES(3198,'ExamsName-3198','ExamsDescription-3198');
INSERT INTO BES.Exams VALUES(3199,'ExamsName-3199','ExamsDescription-3199');
INSERT INTO BES.Exams VALUES(3200,'ExamsName-3200','ExamsDescription-3200');
INSERT INTO BES.Exams VALUES(3201,'ExamsName-3201','ExamsDescription-3201');
INSERT INTO BES.Exams VALUES(3202,'ExamsName-3202','ExamsDescription-3202');
INSERT INTO BES.Exams VALUES(3203,'ExamsName-3203','ExamsDescription-3203');
INSERT INTO BES.Exams VALUES(3204,'ExamsName-3204','ExamsDescription-3204');
INSERT INTO BES.Exams VALUES(3205,'ExamsName-3205','ExamsDescription-3205');
INSERT INTO BES.Exams VALUES(3206,'ExamsName-3206','ExamsDescription-3206');
INSERT INTO BES.Exams VALUES(3207,'ExamsName-3207','ExamsDescription-3207');
INSERT INTO BES.Exams VALUES(3208,'ExamsName-3208','ExamsDescription-3208');
INSERT INTO BES.Exams VALUES(3209,'ExamsName-3209','ExamsDescription-3209');
INSERT INTO BES.Exams VALUES(3210,'ExamsName-3210','ExamsDescription-3210');
INSERT INTO BES.Exams VALUES(3211,'ExamsName-3211','ExamsDescription-3211');
INSERT INTO BES.Exams VALUES(3212,'ExamsName-3212','ExamsDescription-3212');
INSERT INTO BES.Exams VALUES(3213,'ExamsName-3213','ExamsDescription-3213');
INSERT INTO BES.Exams VALUES(3214,'ExamsName-3214','ExamsDescription-3214');
INSERT INTO BES.Exams VALUES(3215,'ExamsName-3215','ExamsDescription-3215');
INSERT INTO BES.Exams VALUES(3216,'ExamsName-3216','ExamsDescription-3216');
INSERT INTO BES.Exams VALUES(3217,'ExamsName-3217','ExamsDescription-3217');
INSERT INTO BES.Exams VALUES(3218,'ExamsName-3218','ExamsDescription-3218');
INSERT INTO BES.Exams VALUES(3219,'ExamsName-3219','ExamsDescription-3219');
INSERT INTO BES.Exams VALUES(3220,'ExamsName-3220','ExamsDescription-3220');
INSERT INTO BES.Exams VALUES(3221,'ExamsName-3221','ExamsDescription-3221');
INSERT INTO BES.Exams VALUES(3222,'ExamsName-3222','ExamsDescription-3222');
INSERT INTO BES.Exams VALUES(3223,'ExamsName-3223','ExamsDescription-3223');
INSERT INTO BES.Exams VALUES(3224,'ExamsName-3224','ExamsDescription-3224');
INSERT INTO BES.Exams VALUES(3225,'ExamsName-3225','ExamsDescription-3225');
INSERT INTO BES.Exams VALUES(3226,'ExamsName-3226','ExamsDescription-3226');
INSERT INTO BES.Exams VALUES(3227,'ExamsName-3227','ExamsDescription-3227');
INSERT INTO BES.Exams VALUES(3228,'ExamsName-3228','ExamsDescription-3228');
INSERT INTO BES.Exams VALUES(3229,'ExamsName-3229','ExamsDescription-3229');
INSERT INTO BES.Exams VALUES(3230,'ExamsName-3230','ExamsDescription-3230');
INSERT INTO BES.Exams VALUES(3231,'ExamsName-3231','ExamsDescription-3231');
INSERT INTO BES.Exams VALUES(3232,'ExamsName-3232','ExamsDescription-3232');
INSERT INTO BES.Exams VALUES(3233,'ExamsName-3233','ExamsDescription-3233');
INSERT INTO BES.Exams VALUES(3234,'ExamsName-3234','ExamsDescription-3234');
INSERT INTO BES.Exams VALUES(3235,'ExamsName-3235','ExamsDescription-3235');
INSERT INTO BES.Exams VALUES(3236,'ExamsName-3236','ExamsDescription-3236');
INSERT INTO BES.Exams VALUES(3237,'ExamsName-3237','ExamsDescription-3237');
INSERT INTO BES.Exams VALUES(3238,'ExamsName-3238','ExamsDescription-3238');
INSERT INTO BES.Exams VALUES(3239,'ExamsName-3239','ExamsDescription-3239');
INSERT INTO BES.Exams VALUES(3240,'ExamsName-3240','ExamsDescription-3240');
INSERT INTO BES.Exams VALUES(3241,'ExamsName-3241','ExamsDescription-3241');
INSERT INTO BES.Exams VALUES(3242,'ExamsName-3242','ExamsDescription-3242');
INSERT INTO BES.Exams VALUES(3243,'ExamsName-3243','ExamsDescription-3243');
INSERT INTO BES.Exams VALUES(3244,'ExamsName-3244','ExamsDescription-3244');
INSERT INTO BES.Exams VALUES(3245,'ExamsName-3245','ExamsDescription-3245');
INSERT INTO BES.Exams VALUES(3246,'ExamsName-3246','ExamsDescription-3246');
INSERT INTO BES.Exams VALUES(3247,'ExamsName-3247','ExamsDescription-3247');
INSERT INTO BES.Exams VALUES(3248,'ExamsName-3248','ExamsDescription-3248');
INSERT INTO BES.Exams VALUES(3249,'ExamsName-3249','ExamsDescription-3249');
INSERT INTO BES.Exams VALUES(3250,'ExamsName-3250','ExamsDescription-3250');
INSERT INTO BES.Exams VALUES(3251,'ExamsName-3251','ExamsDescription-3251');
INSERT INTO BES.Exams VALUES(3252,'ExamsName-3252','ExamsDescription-3252');
INSERT INTO BES.Exams VALUES(3253,'ExamsName-3253','ExamsDescription-3253');
INSERT INTO BES.Exams VALUES(3254,'ExamsName-3254','ExamsDescription-3254');
INSERT INTO BES.Exams VALUES(3255,'ExamsName-3255','ExamsDescription-3255');
INSERT INTO BES.Exams VALUES(3256,'ExamsName-3256','ExamsDescription-3256');
INSERT INTO BES.Exams VALUES(3257,'ExamsName-3257','ExamsDescription-3257');
INSERT INTO BES.Exams VALUES(3258,'ExamsName-3258','ExamsDescription-3258');
INSERT INTO BES.Exams VALUES(3259,'ExamsName-3259','ExamsDescription-3259');
INSERT INTO BES.Exams VALUES(3260,'ExamsName-3260','ExamsDescription-3260');
INSERT INTO BES.Exams VALUES(3261,'ExamsName-3261','ExamsDescription-3261');
INSERT INTO BES.Exams VALUES(3262,'ExamsName-3262','ExamsDescription-3262');
INSERT INTO BES.Exams VALUES(3263,'ExamsName-3263','ExamsDescription-3263');
INSERT INTO BES.Exams VALUES(3264,'ExamsName-3264','ExamsDescription-3264');
INSERT INTO BES.Exams VALUES(3265,'ExamsName-3265','ExamsDescription-3265');
INSERT INTO BES.Exams VALUES(3266,'ExamsName-3266','ExamsDescription-3266');
INSERT INTO BES.Exams VALUES(3267,'ExamsName-3267','ExamsDescription-3267');
INSERT INTO BES.Exams VALUES(3268,'ExamsName-3268','ExamsDescription-3268');
INSERT INTO BES.Exams VALUES(3269,'ExamsName-3269','ExamsDescription-3269');
INSERT INTO BES.Exams VALUES(3270,'ExamsName-3270','ExamsDescription-3270');
INSERT INTO BES.Exams VALUES(3271,'ExamsName-3271','ExamsDescription-3271');
INSERT INTO BES.Exams VALUES(3272,'ExamsName-3272','ExamsDescription-3272');
INSERT INTO BES.Exams VALUES(3273,'ExamsName-3273','ExamsDescription-3273');
INSERT INTO BES.Exams VALUES(3274,'ExamsName-3274','ExamsDescription-3274');
INSERT INTO BES.Exams VALUES(3275,'ExamsName-3275','ExamsDescription-3275');
INSERT INTO BES.Exams VALUES(3276,'ExamsName-3276','ExamsDescription-3276');
INSERT INTO BES.Exams VALUES(3277,'ExamsName-3277','ExamsDescription-3277');
INSERT INTO BES.Exams VALUES(3278,'ExamsName-3278','ExamsDescription-3278');
INSERT INTO BES.Exams VALUES(3279,'ExamsName-3279','ExamsDescription-3279');
INSERT INTO BES.Exams VALUES(3280,'ExamsName-3280','ExamsDescription-3280');
INSERT INTO BES.Exams VALUES(3281,'ExamsName-3281','ExamsDescription-3281');
INSERT INTO BES.Exams VALUES(3282,'ExamsName-3282','ExamsDescription-3282');
INSERT INTO BES.Exams VALUES(3283,'ExamsName-3283','ExamsDescription-3283');
INSERT INTO BES.Exams VALUES(3284,'ExamsName-3284','ExamsDescription-3284');
INSERT INTO BES.Exams VALUES(3285,'ExamsName-3285','ExamsDescription-3285');
INSERT INTO BES.Exams VALUES(3286,'ExamsName-3286','ExamsDescription-3286');
INSERT INTO BES.Exams VALUES(3287,'ExamsName-3287','ExamsDescription-3287');
INSERT INTO BES.Exams VALUES(3288,'ExamsName-3288','ExamsDescription-3288');
INSERT INTO BES.Exams VALUES(3289,'ExamsName-3289','ExamsDescription-3289');
INSERT INTO BES.Exams VALUES(3290,'ExamsName-3290','ExamsDescription-3290');
INSERT INTO BES.Exams VALUES(3291,'ExamsName-3291','ExamsDescription-3291');
INSERT INTO BES.Exams VALUES(3292,'ExamsName-3292','ExamsDescription-3292');
INSERT INTO BES.Exams VALUES(3293,'ExamsName-3293','ExamsDescription-3293');
INSERT INTO BES.Exams VALUES(3294,'ExamsName-3294','ExamsDescription-3294');
INSERT INTO BES.Exams VALUES(3295,'ExamsName-3295','ExamsDescription-3295');
INSERT INTO BES.Exams VALUES(3296,'ExamsName-3296','ExamsDescription-3296');
INSERT INTO BES.Exams VALUES(3297,'ExamsName-3297','ExamsDescription-3297');
INSERT INTO BES.Exams VALUES(3298,'ExamsName-3298','ExamsDescription-3298');
INSERT INTO BES.Exams VALUES(3299,'ExamsName-3299','ExamsDescription-3299');
INSERT INTO BES.Exams VALUES(3300,'ExamsName-3300','ExamsDescription-3300');
INSERT INTO BES.Exams VALUES(3301,'ExamsName-3301','ExamsDescription-3301');
INSERT INTO BES.Exams VALUES(3302,'ExamsName-3302','ExamsDescription-3302');
INSERT INTO BES.Exams VALUES(3303,'ExamsName-3303','ExamsDescription-3303');
INSERT INTO BES.Exams VALUES(3304,'ExamsName-3304','ExamsDescription-3304');
INSERT INTO BES.Exams VALUES(3305,'ExamsName-3305','ExamsDescription-3305');
INSERT INTO BES.Exams VALUES(3306,'ExamsName-3306','ExamsDescription-3306');
INSERT INTO BES.Exams VALUES(3307,'ExamsName-3307','ExamsDescription-3307');
INSERT INTO BES.Exams VALUES(3308,'ExamsName-3308','ExamsDescription-3308');
INSERT INTO BES.Exams VALUES(3309,'ExamsName-3309','ExamsDescription-3309');
INSERT INTO BES.Exams VALUES(3310,'ExamsName-3310','ExamsDescription-3310');
INSERT INTO BES.Exams VALUES(3311,'ExamsName-3311','ExamsDescription-3311');
INSERT INTO BES.Exams VALUES(3312,'ExamsName-3312','ExamsDescription-3312');
INSERT INTO BES.Exams VALUES(3313,'ExamsName-3313','ExamsDescription-3313');
INSERT INTO BES.Exams VALUES(3314,'ExamsName-3314','ExamsDescription-3314');
INSERT INTO BES.Exams VALUES(3315,'ExamsName-3315','ExamsDescription-3315');
INSERT INTO BES.Exams VALUES(3316,'ExamsName-3316','ExamsDescription-3316');
INSERT INTO BES.Exams VALUES(3317,'ExamsName-3317','ExamsDescription-3317');
INSERT INTO BES.Exams VALUES(3318,'ExamsName-3318','ExamsDescription-3318');
INSERT INTO BES.Exams VALUES(3319,'ExamsName-3319','ExamsDescription-3319');
INSERT INTO BES.Exams VALUES(3320,'ExamsName-3320','ExamsDescription-3320');
INSERT INTO BES.Exams VALUES(3321,'ExamsName-3321','ExamsDescription-3321');
INSERT INTO BES.Exams VALUES(3322,'ExamsName-3322','ExamsDescription-3322');
INSERT INTO BES.Exams VALUES(3323,'ExamsName-3323','ExamsDescription-3323');
INSERT INTO BES.Exams VALUES(3324,'ExamsName-3324','ExamsDescription-3324');
INSERT INTO BES.Exams VALUES(3325,'ExamsName-3325','ExamsDescription-3325');
INSERT INTO BES.Exams VALUES(3326,'ExamsName-3326','ExamsDescription-3326');
INSERT INTO BES.Exams VALUES(3327,'ExamsName-3327','ExamsDescription-3327');
